MedCodeID,Description
7955261000006113,Irritant contact dermatitis caused by dietary substance
3515368014,Irritant contact dermatitis caused by friction
3515370017,Irritant contact dermatitis caused by sweat
3515372013,Irritant contact dermatitis caused by body fluid
3636529019,Allergic contact dermatitis caused by dental material
3636532016,Allergic contact dermatitis caused by food flavor
3636533014,Allergic contact dermatitis caused by food flavour
3636534015,Allergic contact dermatitis caused by food additive
3636537010,Allergic contact dermatitis caused by agrochemical biocide
3636539013,Allergic contact dermatitis caused by cutting oil
3637377012,Allergic contact dermatitis caused by disinfectant
3637381012,Allergic contact dermatitis caused by allergenic hapten derived from plants or organic matter
3637380013,Allergic contact dermatitis caused by allergenic hapten derived from plant
3637383010,Allergic contact dermatitis caused by rubber compound
3635777010,Allergic contact dermatitis caused by systemic medicament
3637384016,Irritant contact dermatitis caused by emollient substance
3637403013,Occupational allergic contact dermatitis caused by footwear
3637406017,Occupational allergic contact dermatitis caused by cosmetic
3637408016,Occupational allergic contact dermatitis caused by fragrance
3637410019,Occupational allergic contact dermatitis caused by dental material
3637411015,Occupational allergic contact dermatitis caused by food flavour
3637413017,Occupational allergic contact dermatitis caused by food flavor
3637414011,Occupational allergic contact dermatitis caused by food additive
3637416013,Occupational allergic contact dermatitis caused by hairdressing product
3637418014,Occupational allergic contact dermatitis caused by agrochemical biocide
3637421011,Occupational allergic contact dermatitis caused by cutting oil
3637423014,Occupational allergic contact dermatitis caused by disinfectant
3637424015,Occupational allergic contact dermatitis caused by metal compound
3637427010,Occupational allergic contact dermatitis caused by allergenic hapten derived from plant
3635353019,Occupational allergic contact dermatitis caused by industrial preservative
3637428017,Occupational allergic contact dermatitis caused by biocide
3637430015,Occupational allergic contact dermatitis caused by rubber compound
3637432011,Occupational allergic contact dermatitis caused by systemic drug or medicament
3637435013,Occupational allergic contact dermatitis caused by topical medicament
3635581012,Occupational allergic contact dermatitis caused by clothing
3635706019,Allergic contact dermatitis caused by fragrance
3635708018,Allergic contact dermatitis caused by footwear
3635713019,Allergic contact dermatitis caused by clothing
128743013,Contact dermatitis due to adhesive plaster
3762031000006113,Contact dermatitis caused by adhesive plaster
3770241000006115,Allergic contact dermatitis due to excretions
3770251000006118,Allergic contact dermatitis caused by excretions
130689015,Contact dermatitis due to cosmetics
3781091000006115,Contact dermatitis caused by cosmetics
